Key 	A03.003_Az_T00130.txt_000001_to_1064.txt 	A01.003_Dan_T00030.txt_000001_to_450.txt 	A01.003_Dan_T00030.txt_000451_to_900.txt 	A01.003_Dan_T00030.txt_000901_to_1350.txt 	A01.003_Dan_T00030.txt_001351_to_1800.txt 	A01.003_Dan_T00030.txt_001801_to_2250.txt 	A01.003_Dan_T00030.txt_002251_to_2700.txt 	A01.003_Dan_T00030.txt_002701_to_3150.txt 	A01.003_Dan_T00030.txt_003151_to_3600.txt 	A01.003_Dan_T00030.txt_003601_to_4050.txt 	A01.003_Dan_T00030.txt_004051_to_4472.txt 
and	60	8	7	5	11	36	20	10	14	7	7
&thorn;a	16	15	21	12	11	12	12	11	7	17	11
&thorn;&aelig;t	17	9	10	12	5	7	9	12	12	6	14
on	9	7	7	5	15	14	10	11	7	6	7
him	6	9	14	8	8	3	6	11	5	6	6
to	17	10	5	13	5	7	4	3	4	5	6
&thorn;e	10	5	6	12	6	7	6	6	4	7	6
&thorn;am	10	7	6	10	6	4	8	7	4	2	6
in	13	2	5	7	4	5	4	2	2	11	13
he	4	3	6	10	1	1	2	12	8	11	5
se	10	1	5	3	6	7	9	4	10	3	2
w&aelig;s	5	8	6	4	7	6	2	4	4	6	2
hie	0	10	3	14	6	1	10	3	1	0	4
swa	9	2	5	6	3	3	1	3	8	7	1
ne	6	2	8	11	4	2	2	1	4	3	5
&thorn;urh	13	3	3	0	3	4	0	3	5	2	2
&thorn;ec	15	0	0	0	1	9	8	0	5	0	0
&thorn;&aelig;r	4	4	3	2	8	4	3	1	0	4	3
his	3	2	2	3	1	3	2	5	6	4	3
&thorn;u	8	0	1	1	2	6	3	0	7	1	3
for	6	0	1	3	4	3	1	0	4	3	4
&thorn;&aelig;s	3	2	2	3	4	1	1	4	3	1	0
god	8	1	1	1	3	1	3	2	2	2	0
of	5	1	1	1	2	1	4	2	3	3	0
ac	5	0	2	2	2	1	1	4	3	1	2
weard	1	2	3	6	1	0	1	3	3	2	1
ofer	3	1	2	2	2	1	2	2	1	2	3
cyning	8	0	4	2	1	0	1	1	1	2	1
wear&thorn;	2	2	4	2	1	1	1	2	1	1	4
drihten	0	1	2	1	3	4	4	1	1	1	2
godes	1	0	1	2	0	0	0	4	2	4	5
we	9	0	1	0	3	1	4	1	0	0	0
mid	6	3	0	1	0	3	0	1	1	1	2
&thorn;onne	4	0	0	0	2	1	1	5	3	1	1
o&thorn;&thorn;&aelig;t	0	3	1	0	1	0	1	2	2	5	3
si&thorn;&thorn;an	2	1	1	1	0	0	2	3	0	6	1
babilone	0	0	3	2	1	0	2	2	1	4	1
nu	8	0	1	0	2	2	1	1	0	0	1
dryhten	16	0	0	0	0	0	0	0	0	0	0
waldend	7	1	0	0	2	2	2	1	0	0	1
het	1	1	2	3	1	0	1	5	0	0	1
&thorn;one	4	1	0	1	2	2	1	2	1	1	0
ece	7	0	0	0	0	3	2	1	0	1	1
&aelig;r	2	1	1	1	0	0	0	1	3	3	2
w&aelig;ron	0	2	0	4	3	0	4	0	0	0	1
engel	4	0	1	0	2	3	1	1	1	0	1
metod	0	2	0	0	1	1	2	1	3	3	0
ic	2	3	2	0	0	0	1	1	0	2	2
w&aelig;re	0	2	2	1	1	1	3	1	0	1	1
wolde	2	1	1	2	1	1	0	0	1	3	1
ealle	5	1	1	1	1	1	0	1	1	1	0
&thorn;&aelig;re	1	4	1	3	0	0	0	0	1	2	1
hyra	3	0	0	3	0	2	2	1	0	1	0
fyres	2	0	0	3	2	1	1	3	0	0	0
halig	3	1	1	0	2	1	2	1	1	0	0
israela	0	5	0	1	0	1	1	0	0	0	4
rice	1	1	1	0	0	0	0	1	2	6	0
seo	1	0	1	0	0	1	0	0	4	2	3
geond	5	1	0	0	2	2	0	0	1	0	0
eac	4	1	0	0	3	0	0	3	0	0	0
wi&thorn;	2	1	0	0	1	0	1	4	1	0	1
&thorn;eah	1	0	1	4	1	1	0	0	1	0	2
&thorn;ry	3	0	2	1	1	2	1	1	0	0	0
wundor	0	0	0	0	1	0	0	4	3	1	2
daniel	0	0	2	2	0	0	0	2	2	2	1
&aelig;fter	2	1	1	1	0	1	1	0	1	2	0
men	1	0	1	0	1	1	1	0	2	1	2
&thorn;in	5	0	0	0	1	1	0	0	2	0	1
is	2	0	0	0	2	0	1	2	3	0	0
metodes	0	2	0	3	0	1	1	0	1	2	0
us	8	0	0	0	0	2	0	0	0	0	0
&thorn;ine	5	0	0	0	2	0	1	0	1	0	0
mihte	0	1	1	4	1	0	0	1	0	1	0
lig	3	0	0	0	3	2	0	1	0	0	0
no	0	1	2	1	0	0	0	1	1	1	2
sceolde	2	0	3	1	0	1	0	0	1	1	0
aldor	0	0	0	1	0	0	0	1	1	3	3
sefan	0	1	3	0	1	0	0	1	2	0	1
dom	1	0	2	2	0	0	1	1	0	1	1
fela	3	1	0	0	1	1	2	0	1	0	0
ana	1	0	0	0	0	1	1	1	2	2	1
wordum	1	0	1	0	1	0	1	2	1	0	1
eor&thorn;an	2	1	1	0	0	1	0	1	0	1	1
gode	0	2	2	3	0	0	0	0	0	0	1
eart	2	0	0	0	2	1	1	0	1	1	0
bearn	4	1	0	1	0	1	1	0	0	0	0
eft	0	1	0	0	0	0	0	1	2	4	0
geseah	0	1	0	0	2	0	1	1	2	0	1
gumena	0	0	0	0	1	0	0	0	1	5	1
